Date,Close
2012-04-02,162.94
2012-04-03,159.89
2012-04-04,157.21
2012-04-05,158.31
2012-04-09,159.37
2012-04-10,161.1
2012-04-11,161.07
2012-04-12,162.7
2012-04-13,160.85
2012-04-16,160.46
2012-04-17,160.27
2012-04-18,159.31
2012-04-19,159.43
2012-04-20,159.54
2012-04-23,159.07
2012-04-24,159.3
2012-04-25,159.62
2012-04-26,161.03
2012-04-27,161.38
2012-04-30,161.88
2012-05-01,161.32
2012-05-02,160.59
2012-05-03,158.97
2012-05-04,159.47
2012-05-07,159.08
2012-05-08,156
2012-05-09,154.47
2012-05-10,154.77
2012-05-11,153.56
2012-05-14,151.33
2012-05-15,149.74
2012-05-16,149.46
2012-05-17,152.8
2012-05-18,154.55
2012-05-21,154.65
2012-05-22,152.08
2012-05-23,151.62
2012-05-24,151.41
2012-05-25,152.68
2012-05-29,151.02
2012-05-30,151.91
2012-05-31,151.62
2012-06-01,157.5
2012-06-04,157.32
2012-06-05,157.14
2012-06-06,157.21
2012-06-07,154.5
2012-06-08,154.73
2012-06-11,155.36
2012-06-12,156.46
2012-06-13,157.12
2012-06-14,157.75
2012-06-15,157.84
2012-06-18,157.93
2012-06-19,157.16
2012-06-20,155.97
2012-06-21,152.01
2012-06-22,152.64
2012-06-25,153.76
2012-06-26,152.62
2012-06-27,152.83
2012-06-28,151.05
2012-06-29,155.19
2012-07-02,155.09
2012-07-03,157.46
2012-07-05,155.68
2012-07-06,153.71
2012-07-09,154.04
2012-07-10,152.15
2012-07-11,152.99
2012-07-12,152.59
2012-07-13,154.14
2012-07-16,154.21
2012-07-17,153.47
2012-07-18,153.05
2012-07-19,153.38
2012-07-20,153.67
2012-07-23,153.03
2012-07-24,153.52
2012-07-25,155.67
2012-07-26,156.77
2012-07-27,157.54
2012-07-30,157.43
2012-07-31,156.49
2012-08-01,155.14
2012-08-02,154.13
2012-08-03,155.55
2012-08-06,156.3
2012-08-07,156.28
2012-08-08,156.48
2012-08-09,156.99
2012-08-10,157.18
2012-08-13,155.99
2012-08-14,155.13
2012-08-15,155.63
2012-08-16,156.56
2012-08-17,156.72
2012-08-20,157.26
2012-08-21,158.83
2012-08-22,160.54
2012-08-23,161.89
2012-08-24,161.97
2012-08-27,161.36
2012-08-28,161.64
2012-08-29,160.59
2012-08-30,160.52
2012-08-31,164.22
2012-09-04,164.48
2012-09-05,164.31
2012-09-06,164.89
2012-09-07,168.44
2012-09-10,167.29
2012-09-11,167.9
2012-09-12,167.92
2012-09-13,171.31
2012-09-14,171.8
2012-09-17,170.4
2012-09-18,171.72
2012-09-19,171.74
2012-09-20,171.47
2012-09-21,171.96
2012-09-24,171.05
2012-09-25,170.77
2012-09-26,169.81
2012-09-27,172.34
2012-09-28,171.89
2012-10-01,172.3
2012-10-02,172.1
2012-10-03,172.41
2012-10-04,173.61
2012-10-05,172.62
2012-10-08,172.05
2012-10-09,170.99
2012-10-10,170.84
2012-10-11,171.32
2012-10-12,170.06
2012-10-15,168.35
2012-10-16,169.42
2012-10-17,169.54
2012-10-18,168.79
2012-10-19,166.97
2012-10-22,167.58
2012-10-23,165.43
2012-10-24,164.86
2012-10-25,166.02
2012-10-26,165.93
2012-10-31,166.83
2012-11-01,166.07
2012-11-02,162.6
2012-11-05,163.23
2012-11-06,166.3
2012-11-07,166.49
2012-11-08,167.99
2012-11-09,167.82
2012-11-12,167.45
2012-11-13,167.1
2012-11-14,167.14
2012-11-15,166.09
2012-11-16,165.88
